-,1.00,2520.00,Strike Price,,,,PCR OI,PCR Volume,PCR Change in OI,PCR Sum,PCR Support,CPR OI,CPR Vol,CPR Sum,Resistance
-,-,2560.00,Very Good Support,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2600.00,Very Good Support,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2640.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2680.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
2.00,3.00,2720.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,2760.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2780.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
18.00,36.00,2800.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,2820.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2840.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,2860.00,Very Good Support,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
4.00,27.00,2880.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
46.00,223.00,2900.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
27.00,58.00,2920.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
32.00,99.00,2940.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
83.00,281.00,2960.00,Very Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
120.00,548.00,2980.00,Good Support,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
1132.00,7730.00,3000.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
728.00,5345.00,3020.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
1883.00,13399.00,3040.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
810.00,11687.00,3060.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-3.00,5906.00,3080.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
1657.00,29650.00,3100.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
87.00,4688.00,3120.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
75.00,6653.00,3140.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
99.00,4437.00,3160.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-178.00,2926.00,3180.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
35.00,12045.00,3200.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
252.00,2115.00,3220.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
50.00,2816.00,3240.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
3.00,1935.00,3260.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-174.00,1385.00,3280.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
372.00,9535.00,3300.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-8.00,733.00,3320.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
280.00,845.00,3340.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-46.00,272.00,3360.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-19.00,145.00,3380.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-296.00,1750.00,3400.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-14.00,113.00,3420.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,37.00,3440.00,,,,,illiquid,0.00,0.00,0,,illiquid,illiquid,illiquid,
-56.00,139.00,3460.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
1.00,50.00,3480.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-108.00,1182.00,3500.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,3.00,3520.00,,,,,illiquid,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,1.00,3540.00,,,,,illiquid,0.00,0.00,0,,illiquid,illiquid,illiquid,
-3.00,8.00,3560.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3580.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-88.00,199.00,3600.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3620.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,1.00,3640.00,,,,,illiquid,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3660.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,3680.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-436.00,503.00,3700.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3720.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
2.00,44.00,3800.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,4.00,3840.00,,,,,illiquid,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3880.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
22.00,50.00,3920.00,,,,,0.00,0.00,0.00,0,,illiquid,illiquid,illiquid,
-,-,3960.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
-,-,4000.00,,,,,illiquid,0.00,illiquid,0,,illiquid,illiquid,illiquid,
